ATVI/Adj Close,ADBE/Adj Close,AKAM/Adj Close,ALTR/Adj Close,AMZN/Adj Close,AMGN/Adj Close,AMLN/Adj Close,APOL/Adj Close,AAPL/Adj Close,AMAT/Adj Close,ADSK/Adj Close,BEAS/Adj Close,BBBY/Adj Close,BIIB/Adj Close,BRCM/Adj Close,CHRW/Adj Close,CDNS/Adj Close,CELG/Adj Close,CEPH/Adj Close,CHKP/Adj Close,CKFR/Adj Close,CTAS/Adj Close,CSCO/Adj Close,CTXS/Adj Close,CTSH/Adj Close,CMCSA/Adj Close,COST/Adj Close,DELL/Adj Close,XRAY/Adj Close,DISCA/Adj Close,EBAY/Adj Close,DISH/Adj Close,ERTS/Adj Close,ERIC/Adj Close,EXPE/Adj Close,EXPD/Adj Close,ESRX/Adj Close,FAST/Adj Close,FISV/Adj Close,FLEX/Adj Close,FWLT/Adj Close,GRMN/Adj Close,GENZ/Adj Close,GILD/Adj Close,GOOG/Adj Close,HSIC/Adj Close,IACI/Adj Close,INFY/Adj Close,INTC/Adj Close,INTU/Adj Close,ISRG/Adj Close,JOYG/Adj Close,JNPR/Adj Close,KLAC/Adj Close,LRCX/Adj Close,LAMR/Adj Close,LEAP/Adj Close,LVLT/Adj Close,LBTYA/Adj Close,LINTA/Adj Close,LLTC/Adj Close,LOGI/Adj Close,MRVL/Adj Close,MCHP/Adj Close,MSFT/Adj Close,MICC/Adj Close,MNST/Adj Close,NTAP/Adj Close,NIHD/Adj Close,NVDA/Adj Close,ORCL/Adj Close,PCAR/Adj Close,PDCO/Adj Close,PTEN/Adj Close,PAYX/Adj Close,PETM/Adj Close,QCOM/Adj Close,RIMM/Adj Close,ROST/Adj Close,RYAAY/Adj Close,SNDK/Adj Close,SHLD/Adj Close,SEPR/Adj Close,SIAL/Adj Close,SIRI/Adj Close,SPLS/Adj Close,SBUX/Adj Close,JAVAD/Adj Close,SYMC/Adj Close,TLAB/Adj Close,TEVA/Adj Close,UAUA/Adj Close,VRSN/Adj Close,VRTX/Adj Close,VMED/Adj Close,WFMI/Adj Close,WYNN/Adj Close,XLNX/Adj Close,XMSR/Adj Close,YHOO/Adj Close,Date
11.04,30.84,12.82,19.93,44.29,64.15,23.36,81.01,31.97,16.37,37.41,8.79,39.83,66.29,21.31,26.52,13.75,13.15,49.97,24.63,37.15,42.09,19.32,24.1,20.92,21.91,46.63,41.79,27.47,15.35,57.06,33.1,60.88,30.04,24.24,27.07,19.0,29.47,40.02,13.5,16.0,28.69,57.39,17.36,194.5,34.15,40.66,33.73,21.88,21.45,37.73,18.22,26.82,44.04,27.79,40.47,27.0,3.34,23.81,18.88,36.25,15.06,17.36,24.17,25.69,22.39,32.39,32.7,23.97,7.85,13.41,31.8,43.19,17.81,31.44,34.47,41.09,26.42,27.17,20.4,24.18,100.1,59.37,29.01,7.51,21.29,30.57,20.44,25.76,8.69,28.45,32.99,32.56,10.24,17.44,44.15,61.37,28.1,36.2,37.68,2004-12-31
11.28,31.36,13.03,20.27,44.52,64.28,23.63,80.83,32.2,16.58,37.93,8.82,39.83,66.61,21.52,26.81,13.81,13.26,50.88,24.63,38.08,42.78,19.32,24.46,21.17,22.04,47.13,41.99,27.74,15.35,58.17,33.16,61.68,30.04,24.24,27.48,19.11,29.83,40.19,13.81,15.87,29.49,57.97,17.5,197.6,34.81,42.93,33.81,22.05,22.0,39.82,18.73,27.17,44.94,28.75,40.63,27.0,3.39,23.85,18.88,36.76,15.18,17.72,24.45,25.69,22.39,33.34,32.91,23.73,7.85,13.72,32.24,43.39,18.85,31.74,35.08,41.17,27.47,28.06,20.46,24.97,99.36,59.37,29.28,7.48,21.68,31.18,21.56,25.76,8.65,29.02,32.99,33.6,10.57,17.44,44.92,62.65,28.42,37.28,37.87,2004-12-30
11.29,31.58,13.21,20.32,44.82,64.28,23.73,80.83,32.22,16.58,38.01,8.82,39.83,67.21,21.59,27.15,13.9,13.38,50.88,24.5,38.4,42.83,19.32,24.82,21.17,22.04,47.17,42.14,27.87,15.35,58.78,33.2,62.91,30.42,24.24,27.58,19.19,29.84,40.24,13.82,15.62,29.62,58.07,17.58,192.9,34.81,42.96,34.02,22.05,22.2,39.92,18.78,27.17,44.96,28.75,40.63,27.0,3.41,23.93,18.88,36.76,15.18,17.72,24.56,25.71,22.4,33.64,32.91,23.63,7.65,13.72,32.37,43.87,18.87,31.99,35.1,41.45,27.63,28.06,20.46,25.32,99.36,59.37,29.45,7.48,21.68,31.32,21.6,25.45,8.65,29.02,32.99,33.7,10.75,17.3,44.93,62.99,28.47,37.62,37.85,2004-12-29
11.28,31.62,13.21,20.27,44.82,64.6,23.78,80.94,32.22,16.57,38.28,8.79,39.92,67.86,21.59,27.15,13.9,13.4,50.9,24.5,38.55,42.83,19.31,24.82,21.23,22.0,47.17,41.99,27.87,15.35,58.78,33.2,62.91,30.52,24.24,27.97,19.2,29.89,40.44,13.83,15.25,29.81,57.97,17.61,192.9,34.6,42.96,34.23,22.05,22.35,39.86,18.83,27.1,44.94,28.35,40.57,27.1,3.45,23.93,18.88,36.73,15.2,17.62,24.45,25.85,22.4,33.64,32.91,23.57,7.62,13.84,32.24,43.87,18.85,31.99,35.27,41.59,27.87,27.73,20.46,25.32,99.85,59.79,29.47,7.48,21.62,31.55,21.6,25.04,8.69,29.02,32.99,33.89,10.85,16.75,44.95,63.09,28.42,37.63,37.87,2004-12-28
11.15,31.62,12.93,20.17,44.63,64.6,23.78,80.94,32.09,16.46,38.28,8.73,39.92,67.86,21.3,27.15,13.84,13.4,50.82,24.61,38.55,42.58,19.3,24.71,21.11,21.89,46.83,41.99,27.87,15.35,58.08,33.2,62.83,30.52,24.24,27.97,19.19,29.84,40.44,13.83,15.2,29.81,57.53,17.61,192.76,34.15,42.96,34.23,22.08,22.35,39.86,18.78,27.03,44.56,27.73,40.27,27.15,3.45,23.92,18.88,36.33,15.17,17.61,24.33,25.85,22.45,33.64,32.24,23.45,7.62,13.72,32.17,43.67,18.82,31.99,35.27,42.18,28.06,27.73,20.35,25.31,99.94,59.79,29.47,7.81,21.62,31.55,21.6,25.04,8.69,28.98,32.99,33.89,10.85,16.74,44.95,63.09,28.33,38.89,37.85,2004-12-27
11.04,31.3,12.93,20.14,42.25,64.15,23.5,80.08,32.01,16.46,37.5,8.73,39.39,66.31,21.01,26.87,13.84,13.27,50.92,24.66,37.73,42.58,19.3,24.71,20.26,21.59,46.24,41.75,27.36,15.35,56.67,33.07,62.46,30.15,24.24,27.65,19.05,29.7,40.44,13.83,15.2,29.8,56.26,17.16,191.91,33.93,42.38,33.63,22.16,22.2,39.83,18.18,26.88,44.45,27.73,40.22,27.25,3.45,23.73,18.88,36.33,15.17,17.61,24.21,25.89,22.55,33.42,32.05,23.33,7.62,13.65,31.84,43.23,18.82,32.15,35.08,42.24,28.06,27.29,20.35,25.31,100.12,59.25,29.4,7.95,21.62,30.7,21.76,25.25,8.52,29.09,32.99,33.85,10.87,16.58,44.96,63.13,28.33,39.73,37.74,2004-12-23
11.03,31.15,12.45,19.99,39.52,63.59,23.15,80.08,31.88,16.53,37.5,8.9,39.35,65.64,20.93,26.87,13.95,13.27,50.68,24.61,37.73,42.56,19.32,24.99,20.2,21.11,46.24,41.75,27.36,15.35,56.67,33.07,61.86,30.04,24.24,27.3,19.04,29.7,40.41,14.0,15.1,29.63,56.06,17.16,187.9,33.93,42.38,33.58,22.24,22.06,39.57,18.07,26.88,44.45,28.18,40.22,27.43,3.4,23.73,18.88,36.1,15.1,17.52,24.21,25.91,22.91,33.3,32.05,23.33,7.67,13.65,31.62,43.23,19.02,32.26,35.08,43.15,27.98,27.29,20.36,25.31,100.29,59.19,29.4,7.95,21.64,30.57,21.76,25.37,8.47,28.96,32.99,33.35,10.88,16.57,45.29,63.13,28.26,39.92,37.29,2004-12-22
10.92,31.02,12.37,20.02,39.39,64.0,23.14,80.17,31.88,16.53,38.12,8.9,39.29,65.92,20.94,26.87,13.95,13.15,50.68,24.42,37.6,42.56,19.36,25.34,19.94,21.03,46.54,41.75,27.6,15.35,56.71,33.39,61.71,30.04,24.24,26.94,19.01,29.87,40.41,14.12,15.1,29.2,55.76,17.29,186.3,33.97,42.63,33.58,22.28,22.06,38.59,18.07,26.94,44.55,28.23,40.22,27.55,3.4,23.73,18.88,36.25,14.9,17.48,24.51,25.95,22.91,32.9,33.07,23.39,7.67,13.7,31.62,43.23,19.19,32.26,35.28,43.15,27.98,27.29,20.36,24.2,100.45,59.05,29.48,7.89,21.64,30.31,21.08,25.37,8.3,28.96,32.99,33.35,10.93,16.51,45.29,63.13,28.26,40.2,37.25,2004-12-21
10.83,30.49,12.3,19.99,39.39,63.47,22.51,80.17,31.84,16.4,38.12,8.83,39.05,65.84,20.93,26.67,13.92,13.11,49.68,24.36,37.13,42.55,19.32,25.34,19.85,20.92,46.54,41.61,27.64,15.35,56.85,33.39,61.3,30.46,24.24,26.82,18.91,29.87,40.15,14.28,15.01,28.35,55.76,17.5,185.02,34.35,42.63,34.19,22.24,21.85,37.94,18.07,26.94,44.55,28.23,40.05,27.9,3.34,23.78,18.88,36.1,14.65,17.3,24.51,25.91,22.56,32.57,34.04,23.39,7.66,13.7,31.47,42.79,19.02,31.82,35.28,42.7,28.93,26.76,20.21,24.01,100.45,59.01,29.48,7.89,21.46,29.48,21.0,24.97,8.28,28.66,32.99,33.35,10.91,16.37,44.58,63.5,28.25,40.2,36.66,2004-12-20
10.82,30.38,12.05,19.84,39.39,63.1,22.51,79.86,31.84,16.39,35.99,8.83,39.04,65.84,20.76,26.39,13.92,13.11,49.36,24.42,36.8,42.55,19.05,25.46,19.92,20.75,46.52,41.53,27.64,15.35,57.33,33.35,59.94,30.5,24.24,26.69,18.91,29.87,39.84,14.28,14.8,28.07,56.19,17.5,183.75,34.52,40.25,34.19,21.59,21.84,36.11,17.53,26.56,44.78,28.55,40.05,27.9,3.34,23.81,18.88,36.2,14.65,17.48,24.21,25.9,22.48,32.57,34.07,23.3,7.66,13.79,30.96,42.06,19.01,31.43,34.69,42.1,28.93,26.76,20.0,22.77,100.28,57.11,29.47,7.86,21.37,29.38,20.92,24.97,8.28,28.66,32.99,33.38,10.96,16.37,43.93,64.26,28.16,40.2,36.66,2004-12-17
10.82,30.38,12.05,19.84,40.01,63.1,22.73,79.63,32.49,16.39,35.97,8.98,39.04,65.84,20.76,26.29,14.15,13.51,48.99,24.75,36.77,43.63,19.05,25.14,19.85,20.75,46.52,41.53,27.52,15.35,57.38,33.19,59.64,30.46,24.24,26.19,18.91,29.96,39.75,14.31,14.75,28.01,56.19,17.5,180.08,34.77,39.94,33.88,21.59,21.84,36.0,17.53,26.56,44.75,28.6,40.08,27.4,3.36,23.78,18.88,36.2,14.66,17.61,24.21,25.9,22.24,32.6,34.09,23.3,7.69,13.98,30.96,42.0,18.7,31.18,34.69,42.1,28.45,26.82,20.0,22.77,100.28,56.97,29.44,7.68,21.37,29.09,20.92,25.13,8.29,28.59,32.99,33.38,11.27,16.13,43.91,65.34,28.16,40.05,36.77,2004-12-16
10.82,30.54,12.38,20.03,40.05,63.24,22.76,79.63,32.63,16.61,34.77,9.13,39.64,64.91,21.27,26.29,14.29,13.86,48.4,24.81,36.8,44.97,19.4,25.46,19.92,20.75,46.68,42.19,27.46,15.35,57.85,33.08,59.45,30.48,24.24,26.19,19.05,30.17,38.51,14.36,14.17,27.68,55.59,17.81,179.78,34.85,39.94,33.77,21.69,21.98,36.11,17.53,26.84,44.85,28.63,40.3,27.05,3.42,23.54,18.88,36.5,14.69,17.69,24.61,26.05,22.24,32.68,34.09,23.31,7.78,14.09,31.41,42.06,18.7,31.18,34.9,42.19,27.69,27.12,20.46,22.82,101.27,55.3,29.44,7.65,21.4,29.09,21.12,25.37,8.35,28.24,32.99,34.0,11.38,16.16,43.93,65.34,28.29,39.51,37.08,2004-12-15
10.47,31.31,12.38,20.3,40.44,63.54,22.76,84.84,32.65,16.95,34.69,9.13,40.33,65.89,21.4,26.34,14.3,14.19,48.4,25.76,37.41,45.16,19.4,25.34,20.28,20.75,46.68,42.27,27.34,15.35,58.1,32.95,59.45,30.48,24.24,26.43,19.35,30.26,38.51,14.5,14.15,27.68,55.59,18.08,178.69,35.1,40.44,33.77,21.94,22.13,35.99,16.71,27.32,45.58,28.85,40.31,26.93,3.42,23.37,18.88,36.89,14.73,17.61,24.88,26.1,22.33,32.6,34.09,23.31,7.78,14.09,31.41,42.32,18.7,31.27,35.19,42.76,27.69,27.12,20.88,22.89,103.27,50.45,29.32,7.65,21.51,29.34,21.36,27.38,8.29,28.24,32.99,34.56,11.46,16.16,44.23,62.38,28.54,39.17,38.26,2004-12-14
10.47,31.37,12.45,20.3,40.44,63.95,22.74,84.84,32.63,16.95,34.44,9.07,40.33,66.19,21.4,26.34,14.35,14.49,48.4,25.76,37.41,45.16,19.28,25.34,20.28,20.65,46.66,42.33,27.34,15.35,58.1,32.37,59.45,30.85,24.24,26.85,19.4,30.26,39.01,14.5,14.15,27.68,55.8,18.56,178.69,35.1,40.67,33.77,21.94,22.13,35.52,16.71,27.6,45.58,28.85,40.31,26.55,3.37,23.37,18.88,36.89,14.73,17.44,24.88,26.16,22.65,31.08,33.11,22.91,7.71,14.23,31.0,42.32,18.41,31.27,35.19,42.76,28.48,26.99,20.88,22.89,103.27,49.1,29.28,7.95,21.51,29.34,21.52,27.45,8.35,28.47,32.99,34.56,11.46,16.16,44.23,62.31,28.54,39.17,38.26,2004-12-13
10.44,31.37,12.45,20.18,39.83,63.95,21.66,83.23,32.58,16.7,34.44,8.7,40.27,66.19,20.92,26.06,14.37,14.49,48.06,24.99,36.79,44.38,19.28,25.08,19.88,20.5,46.26,42.33,27.07,15.35,58.0,32.3,57.57,30.85,24.24,26.85,19.55,29.94,39.01,13.79,14.06,27.56,55.8,18.56,171.65,34.72,40.73,32.91,21.46,21.84,35.25,16.71,28.01,45.07,28.49,40.31,26.36,3.37,23.21,18.88,36.46,14.45,17.17,24.65,26.16,22.65,29.5,33.06,22.85,7.71,14.23,30.79,42.17,18.14,30.94,34.92,42.62,29.46,26.48,20.34,22.73,103.48,48.97,28.93,7.95,21.32,29.34,21.36,31.48,8.34,28.47,32.99,34.52,11.27,16.11,44.15,61.4,28.37,38.77,38.09,2004-12-10
9.98,30.49,12.5,20.18,39.82,63.95,21.38,83.23,32.46,16.69,33.12,8.61,40.27,66.12,20.92,26.06,14.37,14.42,47.67,24.99,36.71,44.38,19.4,25.04,19.15,20.47,46.26,42.18,27.05,15.35,58.0,32.3,54.19,30.48,24.24,26.8,19.49,29.94,39.01,13.78,13.73,27.45,55.55,18.42,171.65,34.6,40.73,32.52,21.46,21.7,33.94,16.22,28.14,45.07,28.06,40.12,25.65,3.37,23.14,18.88,36.45,14.45,16.93,24.29,26.16,22.41,28.25,33.06,22.5,7.62,13.29,30.58,42.17,18.14,30.94,34.63,42.17,29.85,26.48,20.34,22.73,103.48,49.1,28.63,7.59,21.32,29.33,21.04,31.73,8.35,28.42,32.99,33.76,10.88,16.1,44.15,60.01,28.37,38.64,38.09,2004-12-09
9.48,30.4,12.58,20.36,39.05,63.95,21.38,83.26,32.0,16.69,32.6,8.61,40.08,65.53,20.97,26.15,14.5,14.34,47.52,24.75,36.57,44.39,19.42,24.99,18.9,20.41,46.83,42.09,26.96,15.35,57.31,32.3,52.46,30.48,24.24,26.78,19.49,29.91,39.06,13.74,13.3,26.76,55.53,18.19,171.65,34.46,39.38,32.52,21.58,21.61,33.94,16.15,28.38,45.22,28.06,39.72,25.25,3.42,23.06,18.88,36.45,14.45,16.93,24.29,26.16,22.4,27.54,33.06,22.37,7.69,13.28,30.53,41.95,18.14,31.07,34.37,42.17,29.85,26.61,20.42,22.85,103.48,49.7,28.62,7.17,21.24,29.1,21.04,31.73,8.34,28.06,32.99,33.57,10.88,16.1,44.15,57.71,28.53,38.12,38.02,2004-12-08
9.46,30.15,12.58,22.08,38.72,63.07,21.17,83.26,31.64,16.8,32.6,8.39,40.08,64.53,21.39,26.15,14.5,14.26,47.52,24.55,36.09,44.39,19.73,24.98,18.41,19.93,46.83,41.86,26.68,15.35,57.31,31.75,52.24,31.77,24.24,26.78,18.91,29.91,39.06,13.78,13.3,26.7,54.98,18.17,171.43,33.83,37.56,32.62,21.82,21.5,33.61,16.21,28.79,45.61,28.12,38.75,25.25,3.45,22.91,18.88,37.08,14.5,16.93,24.76,26.16,22.41,27.54,32.86,22.37,7.62,13.21,30.53,41.95,17.87,31.07,34.11,42.17,29.87,26.61,20.42,23.23,101.16,49.7,28.51,7.17,21.05,29.1,21.2,32.0,8.3,27.96,32.99,32.94,10.87,16.09,43.62,57.71,29.5,38.12,37.08,2004-12-07
9.48,30.15,13.28,22.52,38.72,62.86,21.17,83.26,31.64,17.09,33.06,8.39,39.8,61.47,21.82,26.17,14.45,14.19,47.52,24.55,36.09,44.46,19.8,24.98,18.41,19.67,47.0,41.65,26.63,15.35,57.31,31.75,52.24,32.21,24.24,26.21,18.73,29.91,39.11,13.88,13.3,26.7,54.98,17.92,171.43,33.63,37.56,32.8,22.27,21.5,34.21,16.21,29.06,46.27,28.57,38.32,24.9,3.46,22.64,18.88,37.26,14.5,17.0,25.05,26.26,23.47,27.57,32.86,22.75,7.6,13.21,30.53,41.95,17.87,31.07,34.11,42.08,29.94,26.23,20.6,23.56,101.16,49.04,28.51,8.09,20.74,29.1,21.24,32.52,8.3,27.56,32.99,32.94,10.93,15.99,43.59,57.71,30.0,38.0,37.08,2004-12-06
9.83,30.98,13.28,23.12,39.49,62.01,20.81,83.12,31.44,17.38,33.37,8.55,39.8,61.47,22.16,26.17,14.41,14.19,48.06,24.25,36.89,44.74,19.73,24.66,18.9,19.67,46.79,41.65,26.54,15.35,58.17,32.33,52.8,32.28,24.24,26.21,18.56,29.93,38.83,14.25,13.64,27.22,55.49,17.83,176.29,33.14,38.45,33.12,22.68,21.5,35.76,16.6,28.79,47.58,29.25,38.28,24.9,3.5,22.48,18.88,37.87,14.8,17.01,25.96,26.16,23.85,28.0,32.86,22.99,7.24,13.06,30.55,41.95,18.23,31.15,33.99,42.08,29.94,26.23,21.03,24.05,103.96,48.29,28.74,8.09,20.74,29.29,21.24,33.35,8.48,27.56,32.99,34.19,11.14,15.68,42.31,57.59,30.62,37.73,38.84,2004-12-03
9.83,31.14,13.11,23.12,40.09,62.86,21.1,83.1,32.6,17.38,33.37,8.55,39.84,61.56,22.28,26.17,14.31,14.28,48.9,24.2,37.02,45.06,19.43,24.6,18.94,19.72,47.0,41.65,26.54,15.35,58.21,32.59,52.8,32.21,24.24,26.62,18.56,30.62,39.01,14.36,13.84,27.22,55.49,17.74,179.4,33.51,38.9,33.69,22.68,21.59,36.64,16.93,28.7,47.58,29.25,38.28,25.24,3.56,22.44,18.88,37.87,14.8,17.01,25.96,26.16,23.96,28.51,33.73,22.99,6.91,13.03,30.93,42.23,18.23,31.36,34.52,42.17,30.67,26.37,21.42,24.05,103.96,48.28,28.85,7.55,21.27,29.33,21.56,33.35,8.48,27.81,32.99,34.24,11.14,15.61,42.53,56.52,30.62,37.45,39.02,2004-12-02
